Issue Number,Parent Issue,Issue URL,Title,Assignees,Type,Area,Priority,Initiative,Version,Size,Estimate,Time Spent,Reporting Date,External Reference,Comments
1201,,https://github.com/serverlessworkflow/sdk-java/issues/1201,Allow exportAs transformation to access the current task output,fjtirado,,Runtimes,Normal,,2026/Q1,S,0.2,0.2,2026-03-16,,
1211,,https://github.com/serverlessworkflow/sdk-java/issues/1211,Support filters against workflow data in listen task,fjtirado,,Runtimes,Major,,2026/Q1,S,0.2,0.2,2026-03-16,,
1226,,https://github.com/serverlessworkflow/sdk-java/issues/1226,Application close should wait for pending writes to finish before returning,fjtirado,,Runtimes,Minor,,2026/Q1,XS,0.1,0.1,2026-03-16,,
18,3,https://github.com/serverlessworkflow/editor/issues/18,Add GitHub Action to enforce Apache 2.0 license headers,fantonangeli,,CI,Critical,,2026/Q1,M,0.6,0.2,2026-03-16,,
261,48,https://github.com/quarkiverse/quarkus-flow/issues/261,feat: Add relational database persistence plugin,fjtirado,,Runtimes,Normal,,2026/Q1,M,1.0,1.0,2026-03-16,,
28,3,https://github.com/serverlessworkflow/editor/issues/28,feat: Create a pre-commit hook to force signed commits,fantonangeli,,CI,Major,,2026/Q1,S,0.6,0.1,2026-03-16,,
1174,,https://github.com/serverlessworkflow/sdk-java/issues/1174,Fix null pointer exception in experimental fluent,fjtirado,,Runtimes,Major,,2026/Q1,XS,0.2,0.2,2026-03-13,,
1198,,https://github.com/serverlessworkflow/sdk-java/issues/1198,Confirm TryExecutor.handleException Behavior,fjtirado,,Runtimes,Major,,2026/Q1,M,0.4,0.3,2026-03-13,,
1209,,https://github.com/serverlessworkflow/sdk-java/issues/1209,[Experimental] Add WorkflowContext and TaskContext to Java predicates,fjtirado,,Runtimes,Major,,2026/Q1,S,0.2,0.4,2026-03-13,,
165,48,https://github.com/quarkiverse/quarkus-flow/issues/165,feat:  Add Redis persistence plugin,fjtirado,,Runtimes,Normal,,2026/Q1,L,1.5,1.5,2026-03-13,,
172,112,https://github.com/quarkiverse/quarkus-flow/issues/172,feat: Durable Workflows (Durable Execution + Recovery on Kubernetes),ricardozanini,,Runtimes,Critical,,2026/Q2,L,3.0,4.0,2026-03-13,,
195,48,https://github.com/quarkiverse/quarkus-flow/issues/195,Flow redis plugin using non reactive datasource,fjtirado,,Runtimes,Normal,,2026/Q1,S,0.2,0.2,2026-03-13,,
197,48,https://github.com/quarkiverse/quarkus-flow/issues/197,Add MVStore plugin to Quarkus flow,fjtirado,,Runtimes,Normal,,2026/Q1,M,0.6,0.6,2026-03-13,,
205,,https://github.com/quarkiverse/quarkus-flow/issues/205,feat: Add quarkus-jacoco to allow test coverage measurements,domhanak,,QE,Normal,,2026/Q1,S,0.2,0.4,2026-03-13,,
206,,https://github.com/quarkiverse/quarkus-flow/issues/206,feat: use quarkus scheduler,fjtirado,,Runtimes,Normal,,2026/Q1,M,1.0,1.0,2026-03-13,,
211,,https://github.com/quarkiverse/quarkus-flow/issues/211,feat: Support Munity Uni and Multi as return type of java function calls,fjtirado,,Runtimes,Normal,,2026/Q1,S,0.2,0.2,2026-03-13,,
250,,https://github.com/quarkiverse/quarkus-flow/issues/250,docs: Persistence model dependency,fjtirado,,Runtimes,Normal,,2026/Q1,S,0.2,0.2,2026-03-13,,
256,,https://github.com/quarkiverse/quarkus-flow/issues/256,bug: duplicated assertj-code dependency in langchain4j/deployment module,domhanak,,Runtimes,Major,,2026/Q1,S,0.2,0.2,2026-03-13,,
292,,https://github.com/quarkiverse/quarkus-flow/issues/292,pm: automatically update  'Reporting date' value on project issue changes,dgutierr,,PM,Major,,2026/Q1,M,1.0,0.6,2026-03-13,,
297,,https://github.com/quarkiverse/quarkus-flow/issues/297,bug: scheduler modules are not built as part of the Maven reactor build,baldimir,,CI,Normal,,2026/Q1,S,0.2,0.2,2026-03-13,,
303,,https://github.com/quarkiverse/quarkus-flow/issues/303,feat: Add quarkus-flow-bom for easier dependency management in user's projects,baldimir,,Runtimes,Major,,2026/Q1,S,0.2,0.2,2026-03-13,,
308,,https://github.com/quarkiverse/quarkus-flow/issues/308,bug: Some integration-tests modules miss configuration to produce tests jars.,baldimir,,Runtimes,Major,,2026/Q1,S,0.1,0.1,2026-03-13,,
322,,https://github.com/quarkiverse/quarkus-flow/issues/322,bug: integration-tests jars are not released,baldimir,,Runtimes,Major,,2026/Q1,S,0.2,0.1,2026-03-13,,
